_blk,community_short,n_cells,y,x,cx,cy,rung,block_m
10000007,riverine,1271,40.792816,11.509498,9009329.24580367,4346708.982468094,1000 m,1000.0
10000008,aeolian,502,47.637722,12.09448,9008959.016560715,4347848.982813983,1000 m,1000.0
10000008,riverine,1031,29.582874,14.280172,9009372.33064959,4347665.6725856075,1000 m,1000.0
10000009,aeolian,1409,39.29435,12.655378,9009187.426777545,4348712.030291613,1000 m,1000.0
10000010,aeolian,621,49.200726,17.612146,9009111.91325504,4349475.369622767,1000 m,1000.0
10000010,inland,680,38.481865,22.844538,9009321.363706924,4349814.935405914,1000 m,1000.0
10000014,inland,1558,66.60724,48.1258,9009220.870869953,4353704.023205624,1000 m,1000.0
10000015,inland,1217,57.915264,32.825447,9009167.029551838,4354797.915050128,1000 m,1000.0
10000019,inland,578,61.82083,23.356401,9009276.620269954,4358455.877207167,1000 m,1000.0
10000021,inland,1041,57.487415,26.943872,9009370.968357053,4360738.37142548,1000 m,1000.0
10000022,inland,630,60.272972,27.736961,9009123.936551094,4361569.4308548,1000 m,1000.0
11000001,inland,1401,55.52194,13.255837,9010210.655158622,4340782.759433407,1000 m,1000.0
11000002,inland,1319,56.8871,18.098125,9010184.54682888,4341748.040018572,1000 m,1000.0
11000003,inland,1600,40.978615,11.257142,9010226.829689823,4342729.878907483,1000 m,1000.0
11000004,inland,1504,41.53766,11.643236,9010232.491166808,4343705.529039852,1000 m,1000.0
11000005,aeolian,622,45.046326,4.1157556,9010306.15645762,4344876.2380371895,1000 m,1000.0
11000005,riverine,743,49.676796,16.83907,9010127.503139246,4344733.062365543,1000 m,1000.0
11000006,aeolian,571,48.556328,4.7885914,9010413.581930624,4345641.8013602365,1000 m,1000.0
11000006,riverine,870,42.038097,12.876847,9010092.793883426,4345795.969504898,1000 m,1000.0
11000007,riverine,1512,40.70592,8.163265,9010207.424884994,4346730.918457014,1000 m,1000.0
11000008,riverine,1544,27.332254,8.863804,9010223.595199147,4347726.875894212,1000 m,1000.0
11000009,riverine,1107,37.876553,12.236417,9010281.834205197,4348596.053516606,1000 m,1000.0
11000010,inland,1132,36.46008,16.072691,9010208.432866931,4349599.901096173,1000 m,1000.0
11000013,inland,579,59.388397,35.22329,9010255.444150647,4353034.815251041,1000 m,1000.0
11000014,inland,1483,69.40753,44.45044,9010222.35928783,4353683.517168684,1000 m,1000.0
11000018,inland,948,67.71938,32.537674,9010195.985614052,4357657.832101015,1000 m,1000.0
11000020,inland,1125,61.520603,31.517458,9010167.844367856,4359858.2952812575,1000 m,1000.0
11000021,inland,1600,61.561913,33.051785,9010226.829689823,4360733.442136263,1000 m,1000.0
11000022,inland,1259,50.401512,27.570635,9010301.909077842,4361700.17230945,1000 m,1000.0
11000023,inland,1462,46.310966,19.353136,9010269.716381306,4362735.675048552,1000 m,1000.0
11000024,inland,1016,50.88723,23.675478,9010361.438112896,4363621.587878269,1000 m,1000.0
12000004,inland,619,44.77069,13.994924,9011098.590556765,4343868.527162301,1000 m,1000.0
12000005,inland,1185,39.084415,10.567812,9011301.699635476,4344652.199712378,1000 m,1000.0
12000006,aeolian,1167,42.209263,7.1710124,9011189.319047455,4345774.422162386,1000 m,1000.0
12000007,aeolian,1151,48.246292,10.07571,9011213.871191453,4346645.297199376,1000 m,1000.0
12000008,riverine,1600,35.816666,11.969643,9011225.640409864,4347723.932507699,1000 m,1000.0
12000009,riverine,1212,33.189236,10.898161,9011149.926107138,4348633.719689762,1000 m,1000.0
12000010,inland,966,37.378876,14.439515,9011190.899167428,4349554.490964254,1000 m,1000.0
12000013,inland,761,63.990166,32.79895,9011244.786469495,4352978.762986941,1000 m,1000.0
12000014,inland,1339,73.954475,42.71418,9011214.367424795,4353640.067800557,1000 m,1000.0
12000018,inland,768,68.34504,32.67113,9011194.915275412,4357925.424954084,1000 m,1000.0
12000019,inland,1089,68.34957,46.183918,9011250.874367565,4358799.1406182,1000 m,1000.0
12000020,inland,1111,64.20596,36.22219,9011285.84100648,4359677.015500809,1000 m,1000.0
12000021,inland,980,60.64674,36.9242,9011121.58063995,4360839.540295402,1000 m,1000.0
12000022,inland,1159,54.307735,28.68729,9011132.319688685,4361730.927859342,1000 m,1000.0
12000023,inland,939,40.389397,15.183326,9011092.984199084,4362635.211253655,1000 m,1000.0
12000024,inland,1225,57.34506,25.366764,9011161.11519896,4363822.671965841,1000 m,1000.0
