spec_id,path,date_issued,line_count,section_count,gate_count,names_stop,stop_mentions,names_ruling_set,ruling_count,cited_files,cited_files_absent,absent_examples,sections_present,section_hits
T5_guardrails_and_checks,docs/T5_guardrails_and_checks.md,2026-07-27,211,7,8,1,3,0,0,10,0,,acceptance_criteria,1
T6_third_grazing_arm,docs/change_reports/T6_third_grazing_arm.md,2026-07-27,96,6,4,1,1,0,0,11,0,,,0
T8_T9_T10_gateA_decisions,docs/reference_update/T8_T9_T10_gateA_decisions.md,2026-07-28,149,6,3,0,0,0,0,3,0,,,0
T8_T9_T10_gateA_recon,docs/change_reports/T8_T9_T10_gateA_recon.md,2026-07-28,119,5,4,1,4,0,0,16,2,annual_wet_any/valid_any_1988_2023_8058.tif; results_catalogue.xlsx,,0
T8_gateA_inventory_and_T9_addendum,docs/change_reports/T8_gateA_inventory_and_T9_addendum.md,2026-07-28,75,4,3,1,3,0,0,5,0,,,0
T8_gateA_pin_decisions,docs/reference_update/T8_gateA_pin_decisions.md,2026-07-28,119,6,3,0,0,0,0,3,0,,,0
T8_gateBD_dim_headline_number,docs/change_reports/T8_gateBD_dim_headline_number.md,2026-07-28,93,7,3,1,1,0,0,9,0,,,0
T8_gateB_prewrite_sixth_pin_STOP,docs/change_reports/T8_gateB_prewrite_sixth_pin_STOP.md,2026-07-28,68,5,2,1,4,0,0,3,1,management_zones_8058.gpkg,,0
T8_pixel_area_constant_audit,docs/change_reports/T8_pixel_area_constant_audit.md,2026-07-28,42,6,1,0,0,0,0,8,1,_lint_fixture_magic.py,,0
TEMPORAL1,docs/reference_update/Gayini_CC_spec_TEMPORAL1.md,2026-08-07,232,9,5,1,4,1,3,10,5,TEMPORAL1_gate1_water_reconciliation.csv; TEMPORAL1_metric_comparison.csv; TEMPORAL1_part_metrics.csv,,0
TEMPORAL1_completion,docs/reference_update/Gayini_CC_spec_TEMPORAL1_completion.md,2026-08-08,129,7,1,0,0,1,5,10,3,total_veg_p05_annual_8058.tif; total_veg_p50_annual_8058.tif; veg_percentiles_8058/total_veg_p05..p50_8058.tif,rulings_in_force|standing_conditions,2
TRACE1,docs/Audit/Gayini_CC_spec_TRACE1.md,2026-08-10,185,8,1,1,2,1,2,3,0,,checks_on_checks|rulings_in_force|spine_anchor|standing_conditions|what_this_is_not,5
Tier1_TaskA_reproject_8058_and_sampling_design_map,docs/Tier1_TaskA_reproject_8058_and_sampling_design_map.md,,76,7,0,0,0,0,0,4,0,,acceptance_criteria,1
Tier1_TaskB_descriptive_figures_F2_F4,docs/Tier1_TaskB_descriptive_figures_F2_F4.md,,86,7,0,0,0,0,0,3,0,,acceptance_criteria,1
Tier1_TaskC2_F5_legibility_views,docs/Tier1_TaskC2_F5_legibility_views.md,,49,5,0,0,0,0,0,6,0,,acceptance_criteria,1
Tier1_TaskC3_F5_figure_split,docs/Tier1_TaskC3_F5_figure_split.md,,53,5,0,0,0,0,0,1,0,,acceptance_criteria,1
Tier1_TaskC_stratified_sampling_frame_F5,docs/Tier1_TaskC_stratified_sampling_frame_F5.md,,81,7,0,0,0,0,0,6,0,,acceptance_criteria,1
Tier1_TaskD_trend_test_F6,docs/Tier1_TaskD_trend_test_F6.md,,79,7,0,0,0,0,0,2,0,,acceptance_criteria,1
Tier1_TaskE_groundcover_response_F7,docs/Tier1_TaskE_groundcover_response_F7.md,,114,10,0,0,0,0,0,11,0,,acceptance_criteria,1
Tier1_TaskG_dashboard_layout_revision,docs/Tier1_TaskG_dashboard_layout_revision.md,,66,7,0,0,0,0,0,2,1,12_build_dashboards_trial.R,acceptance_criteria,1
Tier1_TaskG_figures_and_dashboards_refresh,docs/Tier1_TaskG_figures_and_dashboards_refresh.md,,73,8,0,0,0,0,0,8,1,scripts/07_figures_dashboards/12_build_dashboards_trial.R,acceptance_criteria,1
Tier1_TaskJ_prepost_placebo_ladder,docs/Tier1_TaskJ_prepost_placebo_ladder.md,2026-07-16,240,10,5,1,4,0,0,7,2,Gayini_limitations_register_20260716_v2.xlsx; gayini_murrumbidgee_gauges.sqlite,,0
Tier2_TaskH_all_pixel_census,docs/Tier2_TaskH_all_pixel_census.md,2026-07-20,103,7,2,1,2,0,0,10,1,annual_wet_any/valid_any_1988_2023.tif,acceptance_criteria,1
Tier2_TaskH_all_pixel_census_v2,docs/Tier2_TaskH_all_pixel_census_v2.md,2026-07-20,316,10,1,1,1,0,0,17,0,,acceptance_criteria,1
Tier2_TaskH_all_pixel_census_v3,docs/Tier2_TaskH_all_pixel_census_v3.md,2026-07-20,273,10,1,0,0,0,0,16,0,,acceptance_criteria,1
Tier2_TaskH_all_pixel_census_v4,docs/Tier2_TaskH_all_pixel_census_v4.md,,316,10,1,1,3,0,0,10,0,,acceptance_criteria,1
Tier2_TaskH_gateE_figure_build,docs/Tier2_TaskH_gateE_figure_build.md,,78,3,1,1,1,0,0,4,0,,,0
Tier2_TaskH_ondisk_audit,docs/Tier2_TaskH_ondisk_audit.md,2026-07-20,151,10,4,1,10,0,0,15,2,census_community_total_veg_means.csv; census_refugia_majority_green.csv,,0
Tier2_TaskH_ondisk_census_groundcover_review,docs/Tier2_TaskH_ondisk_census_groundcover_review.md,,229,9,5,1,12,0,0,35,1,..._seasonal_bias_test.csv,,0
Tier2_TaskI_deck_stocktake_and_review_bundle,docs/Tier2_TaskI_deck_stocktake_and_review_bundle.md,2026-07-16,152,8,1,1,4,0,0,5,0,,,0
Tier2_TaskK_gate0_output_census,docs/Tier2_TaskK_gate0_output_census.md,2026-07-17,208,9,2,0,0,0,0,12,0,,,0
Tier2_TaskK_gateA_archive_dead_generations,docs/Tier2_TaskK_gateA_archive_dead_generations.md,2026-07-19,105,9,2,0,0,0,0,9,4,Output/diagnostics/taskK_gate0_census_20260719.csv; docs/change_reports/taskK_gate0_20260719.md; docs/change_reports/taskK_gateA_20260719.md,,0
Tier2_TaskK_workstation_git_sync_check,docs/Tier2_TaskK_workstation_git_sync_check.md,,134,10,0,1,1,0,0,5,0,,,0
Tier2_TaskL_dashboard_report_rollout,docs/Tier2_TaskL_dashboard_report_rollout.md,,149,7,7,1,10,0,0,10,1,..._DRAFT.md,,0
Tier2_TaskM_deck_evidence_audit,docs/Tier2_TaskM_deck_evidence_audit.md,,432,9,5,1,3,0,0,24,0,,,0
Tier2_TaskM_deck_evidence_audit_v2,docs/Tier2_TaskM_deck_evidence_audit_v2.md,,632,10,5,1,3,0,0,29,0,,,0
Tier2_TaskM_gateB_classification,docs/Tier2_TaskM_gateB_classification.md,2026-07-24,223,6,3,0,0,0,0,4,0,,,0
Tier2_TaskM_gateB_classification_v2,docs/Tier2_TaskM_gateB_classification_v2.md,2026-07-24,367,7,3,0,0,0,0,10,0,,,0
UNZONED,docs/reference_update/Gayini_CC_spec_UNZONED.md,2026-08-06,167,7,0,1,1,0,0,4,0,,,0
UNZONED1,docs/reference_update/Gayini_CC_spec_UNZONED1.md,2026-08-09,99,6,0,0,0,1,3,1,0,,rulings_in_force|standing_conditions,2
UNZONED_v2,docs/reference_update/Gayini_CC_spec_UNZONED_v2.md,2026-08-06,322,8,2,1,3,0,0,10,0,,,0
UNZONED_v2_amendment_A1,docs/reference_update/Gayini_CC_spec_UNZONED_v2_amendment_A1.md,2026-08-07,113,5,1,1,1,0,0,2,0,,,0
UNZONED_v3,docs/reference_update/Gayini_CC_spec_UNZONED_v3.md,2026-08-10,375,9,1,1,1,1,5,8,0,,standing_conditions,1
XCHECK1,docs/reference_update/Gayini_CC_spec_XCHECK1.md,2026-08-07,283,9,0,0,0,1,2,9,0,,,0
reference_state_specs_T7_T11,docs/reference_update/Gayini_reference_state_specs_T7_T11.md,2026-07-28,407,19,4,1,14,0,0,6,0,,acceptance_criteria|spine_anchor,2
report_template_spec,docs/reports/Gayini_paddock_report_pack_update/Gayini_report_template_spec.md,,63,1,0,1,1,0,0,0,0,,,0
report_template_spec,docs/reports/Gayini_paddock_report_pack_update/Gayini_reports_for_CC_20260804/docs/reports/Gayini_report_template_spec.md,,63,1,0,1,1,0,0,0,0,,,0
