folder,depth,n_files_direct,n_bytes_direct
Output/review_bundles/tier1c_stratified_sampling/diagnostics,3,2,999
Output/review_bundles/tier1c_stratified_sampling/figures,3,4,2679569
Output/review_bundles/tier1c_stratified_sampling/spatial,3,2,18826748
Output/review_bundles/tier1d_trend_test,2,3,12545
Output/review_bundles/tier1d_trend_test/diagnostics,3,2,29984
Output/review_bundles/tier1d_trend_test/figures,3,6,1134884
Output/review_bundles/tier1e_f7_groundcover_response,2,3,26698
Output/review_bundles/tier1e_f7_groundcover_response/diagnostics,3,4,20969
Output/review_bundles/tier1e_f7_groundcover_response/figures,3,10,1557850
Output/review_bundles/tier2H_all_pixel_census,2,2,10534
Output/review_bundles/tier2H_all_pixel_census/docs,3,3,80966
Output/review_bundles/tier2H_all_pixel_census/figures,3,4,1558466
Output/review_bundles/tier2H_all_pixel_census/h6,3,1,1822
Output/review_bundles/tier2H_all_pixel_census/track_a,3,7,74744
Output/review_bundles/tier2H_all_pixel_census/track_b,3,8,37126
Output/review_bundles/tier2H_all_pixel_census/verdict,3,4,12562
Output/spatial_8058,1,6,1523712
Output/tables,1,2,33921
