grid,pixel_area_ha,crs_epsg,source_artefact,section,group_key,n,min,p05,p10,p25,p50,p75,p90,p95,max,mean,sd,threshold,area_ha,pct_of_focus
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),by_flood_zone,2,174336,7.0,32.0,36.7,45.7,55.8,63.6,68.95,72.0,86.0,54.1706,12.3056,,15690.24,25.416
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),by_flood_zone,3,258125,11.0,42.3,49.4,58.7,65.6,72.8,80.0,82.65,88.0,64.8318,11.7349,,23231.25,37.631
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),by_flood_zone,4,51534,14.2,60.65,65.6,73.5,78.85,81.0,82.75,83.45,89.0,76.0492,7.8995,,4638.06,7.513
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),cumulative_area,,565301,,,,,,,,,,,,40,50877.09,82.413
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),cumulative_area,,512350,,,,,,,,,,,,45,46111.5,74.693
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),cumulative_area,,456525,,,,,,,,,,,,50,41087.25,66.555
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),cumulative_area,,393613,,,,,,,,,,,,55,35425.17,57.383
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),cumulative_area,,318323,,,,,,,,,,,,60,28649.07,46.407
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),cumulative_area,,227079,,,,,,,,,,,,65,20437.11,33.105
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),cumulative_area,,144441,,,,,,,,,,,,70,12999.69,21.057
