draw_id,n_points,tau,p_value,n_zero_years,significant_p05
949,40,0.36063,0.00954,29,True
950,40,0.11499,0.403101,27,False
951,40,0.09878,0.47382,28,False
952,40,0.13827,0.317005,29,False
953,40,0.14326,0.29702,28,False
954,40,0.09568,0.486578,29,False
955,40,0.27247,0.047317,28,True
956,40,0.29817,0.03089,30,True
957,40,0.17936,0.190739,28,False
958,40,0.32951,0.015979,27,True
959,40,0.27606,0.048738,32,True
960,40,0.28285,0.041177,30,True
961,40,0.29169,0.034724,30,True
962,40,0.28765,0.03865,31,True
963,40,0.28515,0.04108,31,True
964,40,0.19958,0.151967,30,False
965,40,0.2816,0.045376,32,True
966,40,0.25851,0.06134,29,False
967,40,0.13141,0.336795,28,False
968,40,0.29357,0.031886,28,True
969,40,0.18151,0.191311,27,False
970,40,0.34476,0.012385,29,True
971,40,0.22845,0.098234,29,False
972,40,0.2858,0.036,27,True
973,40,0.13764,0.316368,28,False
974,40,0.22296,0.105934,28,False
975,40,0.31693,0.021183,29,True
976,40,0.29586,0.032711,30,True
977,40,0.28046,0.04378,31,True
978,40,0.24184,0.083196,31,False
979,40,0.15102,0.277271,28,False
980,40,0.35281,0.010299,29,True
981,40,0.35279,0.010524,28,True
982,40,0.13226,0.338504,29,False
983,40,0.35651,0.009857,30,True
984,40,0.27336,0.045246,28,True
985,40,0.29586,0.032711,30,True
986,40,0.30826,0.024199,27,True
987,40,0.32889,0.016771,29,True
988,40,0.19734,0.151285,29,False
989,40,0.28515,0.04108,31,True
990,40,0.35663,0.010469,30,True
991,40,0.28049,0.043505,30,True
992,40,0.35438,0.010526,30,True
993,40,0.19734,0.151285,29,False
994,40,0.27724,0.044857,28,True
995,40,0.29484,0.034041,31,True
996,40,0.19182,0.166165,30,False
997,40,0.40472,0.003325,29,True
998,40,0.15133,0.269611,28,False
999,40,0.36477,0.007988,29,True
1000,40,0.35076,0.010944,29,True
