"row_type","period","period_label","scope","form","n","n_clusters","x_min","x_max","cv_rmse_weighted_leave_one_paddock_out","r2_in_sample","delta_r2_vs_linear","resid_sd","term_1","term_2","term_3","term_4","part_id","community_of_part","residual","support_level","unit","weighting","estimand","cluster","source_sha256_first50","interval_status"
"form_summary","cropping_era","1988-2013","pooled","log_x1",115,64,0.11655,53.3137076923077,9.40890623191741,0.447773850125348,-0.0197788721979353,8.85279376173526,37.4635113370991,9.74835819341737,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","cropping_era","1988-2013","pooled","cubic",115,64,0.11655,53.3137076923077,9.36493861810011,0.487823307760122,0.0202705854368384,8.5257337954243,49.2909933928216,0.93254227820844,-0.00374762961991277,-8.27001459750003e-05,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","cropping_era","1988-2013","aeolian","linear",17,17,0.11655,18.8633038461538,15.8337597918576,0.00747787476106709,0,12.8085739334879,46.9656640667701,-0.372995202977802,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","cropping_era","1988-2013","aeolian","quadratic",17,17,0.11655,18.8633038461538,16.9956383704194,0.157472139280129,0.149994264519062,11.8011088601624,53.8350924167198,-4.64486959546556,0.389094439797699,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","cropping_era","1988-2013","aeolian","sqrt_x",17,17,0.11655,18.8633038461538,15.6076517391595,0.0486091834500469,0.0411313086889799,12.5403644597523,52.0745477479796,-3.71627136140761,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","cropping_era","1988-2013","aeolian","log_x1",17,17,0.11655,18.8633038461538,15.3922395115647,0.0796787112019921,0.072200836440925,12.333899778168,53.2648940501131,-5.75565241379296,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","cropping_era","1988-2013","aeolian","cubic",17,17,0.11655,18.8633038461538,49.1456229745321,0.345392847429644,0.337914972668577,10.4021007109002,62.2100350144538,-12.7098063212549,1.90481123442832,-0.0706921538994855,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","cropping_era","1988-2013","riverine","linear",37,37,1.21322692307692,32.3360384615385,12.7956827656148,0.0556987580943442,0,10.6784796089891,49.3587797777368,0.377099766142468,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","cropping_era","1988-2013","riverine","quadratic",37,37,1.21322692307692,32.3360384615385,13.0701939605362,0.125399546033761,0.0697007879394167,10.2768257174257,56.0031295496447,-0.894530529939236,0.0449719110955871,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","cropping_era","1988-2013","riverine","sqrt_x",37,37,1.21322692307692,32.3360384615385,13.2253274052149,0.0305485542282442,-0.0251502038661,10.8197486912221,47.750088145456,1.85381992932266,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
