"part_id","zone_fid","paddock_name","community_short","conserved","n_pixels_part","period","period_label","x_inund_mean","y_floor_mean","fitted","residual","published_residual","hat_leverage","std_residual","sqrt_abs_std_residual","residual_obs_deleted","residual_cluster_deleted","water_quartile","local_residual_sd","residual_z_local","support_level","unit","weighting","estimand","cluster","source_sha256_first50","interval_status"
"13_inland",13,"Bala 13","inland",0,12762,"whole_record","1988-2022",30.2852257142857,74.2402790669032,69.2715046750526,4.96877439185062,4.96877439185063,0.0181652057344098,0.8350832386325,0.913828889143093,5.06070310491211,5.06070310491212,3,6.33433521519219,0.784419236281271,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"14_inland",14,"Bala 15","inland",0,8452,"whole_record","1988-2022",25.6013771428571,49.0540262140547,66.7081573811179,-17.6541311670633,-17.6541311670633,0.0106327004706243,-2.4054018751107,1.55093580625076,-17.8438595812304,-17.8438595812303,3,6.33433521519219,-2.78705350558679,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"15_inland",15,"Bala 17","inland",0,11970,"whole_record","1988-2022",27.4156771428571,73.9329936000279,67.7010761154585,6.23191748456939,6.23191748456941,0.0154244149216985,1.01294197106097,1.00645018309948,6.32954704444939,6.32954704444941,3,6.33433521519219,0.983831337126403,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"16_inland",16,"Bala 18","inland",0,11473,"whole_record","1988-2022",45.8749085714286,79.3075171334403,77.8033286133677,1.5041885200726,1.50418852007263,0.045962898079127,0.243163542869085,0.493116155554739,1.57665620869885,1.58690627081974,4,3.83288579700831,0.392442822388987,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"16_riverine",16,"Bala 18","riverine",0,623,"whole_record","1988-2022",28.56226,77.4999770900181,68.3285707962339,9.17140629378422,9.17140629378422,0.000828431211431587,0.337598299644137,0.581032098634953,9.17901047254973,9.21006530623396,3,6.33433521519219,1.44788773915653,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"17_inland",17,"Bala 19","inland",0,13332,"whole_record","1988-2022",29.14834,73.0854903738839,68.649316985851,4.43617338803288,4.4361733880329,0.0180956828717924,0.762012170919267,0.872933085018128,4.51792838736817,4.51792838736819,3,6.33433521519219,0.700337641966472,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"18_aeolian",18,"Bala 20","aeolian",0,157,"whole_record","1988-2022",19.7088285714286,53.3220114898682,63.4833203257339,-10.1613088358658,-10.1613088358658,0.000227762405564619,-0.187710803640937,0.433256048591289,-10.1636237272552,-10.1607221789785,2,8.48562122135004,-1.19747377013479,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"18_inland",18,"Bala 20","inland",0,9651,"whole_record","1988-2022",42.1288771428571,77.7881699698312,75.7532240083646,2.0349459614666,2.03494596146662,0.0299206738070131,0.299209750574515,0.547000686082307,2.09771088458571,2.08867936230457,4,3.83288579700831,0.530917452081391,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"18_riverine",18,"Bala 20","riverine",0,2845,"whole_record","1988-2022",22.7968885714286,62.4434850856236,65.1733344506128,-2.7298493649892,-2.7298493649892,0.0036815331189339,-0.215040893731945,0.463725019523365,-2.73993653207581,-2.72194245928082,3,6.33433521519219,-0.430960672627802,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"19_inland",19,"Bala 21","inland",0,10258,"whole_record","1988-2022",40.38994,75.5130897467477,74.8015493862054,0.711540360542358,0.711540360542386,0.028117874698788,0.107761695908233,0.328270766149277,0.73212619310375,0.732126193103724,4,3.83288579700831,0.185640897805444,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
