zone_fid,zone_name,treat,year,n,ctv,wat,ns
10,Bala 6,14-day grazing,2015,22526,62.82074047767024,0.0,0.49276391725117646
11,Bala 9,14-day grazing,2015,2843,21.17481533591277,0.0,15.476609215617307
12,Bala 12,14-day grazing,2015,13916,2.069560218453579,0.12216154067260707,3.4277091118137397
13,Bala 13,14-day grazing,2015,8869,17.172172736497913,0.0,12.504228210621266
14,Bala 15,14-day grazing,2015,5898,1.2885723974228551,0.0,24.48287555103425
15,Bala 17,14-day grazing,2015,8315,28.755261575466022,0.0,0.15634395670475046
16,Bala 18,14-day grazing,2015,8406,4.496788008565311,0.0,0.0
17,Bala 19,14-day grazing,2015,9268,33.12473025463962,0.0,0.21579628830384118
18,Bala 20,14-day grazing,2015,8782,13.151901616943748,0.0,5.226599863356866
19,Bala 21,14-day grazing,2015,7124,76.20718697361033,0.0,0.1403705783267827
20,Bala 22,14-day grazing,2015,3657,0.0,0.847689362865737,0.0
21,Bala 23,14-day grazing,2015,16923,4.6741121550552505,0.005909117768717131,1.3177332624239202
22,Bala 24,14-day grazing,2015,3945,10.595690747782003,0.0,0.12674271229404308
23,Bala 25,14-day grazing,2015,6332,19.83575489576753,0.0,0.5211623499684144
24,Bala 7/10,14-day grazing,2015,2780,13.16546762589928,0.0,0.7553956834532374
25,Bala 8/11,14-day grazing,2015,17293,26.189787775400454,0.0,2.463424507025964
26,Bala 14/16,14-day grazing,2015,6667,1.7399130043497826,3.4198290085495726,0.5399730013499325
27,Mara 1,14-day grazing,2015,3840,2.1875,0.0,0.13020833333333331
28,Mara 2,14-day grazing,2015,5791,2.9528578829217755,0.3798998445864272,5.353134173717837
29,Mara 3,14-day grazing,2015,4567,58.309612437048386,0.0,0.37223560324063937
30,Mara 10,14-day grazing,2015,6203,27.0514267290021,0.0,0.6287280348218605
31,Mara 13,14-day grazing,2015,2792,14.14756446991404,0.0,2.9011461318051577
32,Mara 12,14-day grazing,2015,5206,30.484056857472147,0.3073376872839032,0.32654629273914715
33,Mara 14,14-day grazing,2015,11179,20.413274890419537,0.0,0.08945343948474818
34,Mara 5,14-day grazing,2015,3532,24.74518686296716,0.14156285390713477,0.0
35,Mara 9,14-day grazing,2015,3435,57.05967976710335,0.26200873362445415,0.20378457059679767
36,Mara 6,14-day grazing,2015,7668,61.606677099634844,0.0,0.05216484089723526
37,Mara 7,14-day grazing,2015,10357,65.55952495896496,0.0,0.5213865018827846
38,Mara 8,14-day grazing,2015,2623,40.25924513915364,0.0,2.9355699580632866
39,Mara 11,14-day grazing,2015,10552,29.349886277482938,0.0,2.4734647460197117
40,Mara 15,14-day grazing,2015,11525,44.91106290672452,0.0,0.0
41,Mara 16,14-day grazing,2015,8095,3.211859172328598,0.7906114885731933,0.0
42,Mara 17,14-day grazing,2015,3242,56.47748303516348,0.0,0.0
43,Mara 18,14-day grazing,2015,2487,43.988741455568956,0.0,0.0
44,Mara 19,14-day grazing,2015,3335,8.995502248875562,0.0,0.0
